Applicant_ID,Source,Job_Role,Department,Application_Date,Stage,Stage_Sequence,Stage_Date,Status,Days_Since_Application,Age,Gender,Education,EducationField
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Resume Screening,2,2025-10-31,Passed,6,19,Female,1,Medical
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,HR Phone Screen,3,2025-11-09,Passed,15,19,Female,1,Medical
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Technical Round,4,2025-11-15,Passed,21,19,Female,1,Medical
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Manager Interview,5,2025-11-18,Passed,24,19,Female,1,Medical
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Final Interview,6,2025-11-21,Passed,27,19,Female,1,Medical
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Offer Extended,7,2025-11-30,Passed,36,19,Female,1,Medical
APP1009,Employee Referral,Laboratory Technician,Research & Development,2025-10-25,Hired,8,2025-12-07,Hired,43,19,Female,1,Medical
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Application Received,1,2024-08-04,Passed,0,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Resume Screening,2,2024-08-12,Passed,8,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,HR Phone Screen,3,2024-08-22,Passed,18,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Technical Round,4,2024-09-01,Passed,28,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Manager Interview,5,2024-09-06,Passed,33,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Final Interview,6,2024-09-13,Passed,40,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Offer Extended,7,2024-09-22,Passed,49,19,Female,1,Technical Degree
APP1010,LinkedIn,Sales Representative,Sales,2024-08-04,Hired,8,2024-09-22,Rejected,49,19,Female,1,Technical Degree
APP1011,Employee Referral,Laboratory Technician,Research & Development,2025-02-12,Application Received,1,2025-02-12,Passed,0,19,Male,3,Life Sciences
APP1011,Employee Referral,Laboratory Technician,Research & Development,2025-02-12,Resume Screening,2,2025-02-12,Rejected,0,19,Male,3,Life Sciences
APP1012,LinkedIn,Human Resources,Human Resources,2025-06-05,Application Received,1,2025-06-05,Passed,0,19,Male,2,Technical Degree
APP1012,LinkedIn,Human Resources,Human Resources,2025-06-05,Resume Screening,2,2025-06-05,Rejected,0,19,Male,2,Technical Degree
APP1013,LinkedIn,Sales Representative,Sales,2024-06-05,Application Received,1,2024-06-05,Passed,0,19,Male,3,Other
APP1013,LinkedIn,Sales Representative,Sales,2024-06-05,Resume Screening,2,2024-06-05,Rejected,0,19,Male,3,Other
APP1014,Campus Hiring,Research Scientist,Research & Development,2025-09-02,Application Received,1,2025-09-02,Passed,0,19,Male,2,Life Sciences
APP1014,Campus Hiring,Research Scientist,Research & Development,2025-09-02,Resume Screening,2,2025-09-12,Passed,10,19,Male,2,Life Sciences
APP1014,Campus Hiring,Research Scientist,Research & Development,2025-09-02,HR Phone Screen,3,2025-09-15,Passed,13,19,Male,2,Life Sciences
APP1014,Campus Hiring,Research Scientist,Research & Development,2025-09-02,Technical Round,4,2025-09-15,Rejected,13,19,Male,2,Life Sciences
APP1015,LinkedIn,Research Scientist,Research & Development,2025-11-29,Application Received,1,2025-11-29,Passed,0,19,Female,3,Medical
APP1015,LinkedIn,Research Scientist,Research & Development,2025-11-29,Resume Screening,2,2025-11-29,Rejected,0,19,Female,3,Medical
APP1016,Employee Referral,Research Scientist,Research & Development,2024-12-14,Application Received,1,2024-12-14,Passed,0,19,Female,3,Life Sciences
APP1016,Employee Referral,Research Scientist,Research & Development,2024-12-14,Resume Screening,2,2024-12-24,Passed,10,19,Female,3,Life Sciences
APP1016,Employee Referral,Research Scientist,Research & Development,2024-12-14,HR Phone Screen,3,2024-12-31,Passed,17,19,Female,3,Life Sciences
APP1016,Employee Referral,Research Scientist,Research & Development,2024-12-14,Technical Round,4,2024-12-31,Rejected,17,19,Female,3,Life Sciences
APP1017,LinkedIn,Laboratory Technician,Research & Development,2025-06-03,Application Received,1,2025-06-03,Passed,0,20,Female,3,Life Sciences
APP1017,LinkedIn,Laboratory Technician,Research & Development,2025-06-03,Resume Screening,2,2025-06-03,Rejected,0,20,Female,3,Life Sciences
APP1018,Campus Hiring,Research Scientist,Research & Development,2025-10-16,Application Received,1,2025-10-16,Passed,0,20,Female,3,Life Sciences
APP1018,Campus Hiring,Research Scientist,Research & Development,2025-10-16,Resume Screening,2,2025-10-24,Passed,8,20,Female,3,Life Sciences
APP1018,Campus Hiring,Research Scientist,Research & Development,2025-10-16,HR Phone Screen,3,2025-10-24,Rejected,8,20,Female,3,Life Sciences
APP1019,Employee Referral,Research Scientist,Research & Development,2025-06-27,Application Received,1,2025-06-27,Passed,0,20,Male,1,Medical
APP1019,Employee Referral,Research Scientist,Research & Development,2025-06-27,Resume Screening,2,2025-07-07,Passed,10,20,Male,1,Medical
APP1019,Employee Referral,Research Scientist,Research & Development,2025-06-27,HR Phone Screen,3,2025-07-15,Passed,18,20,Male,1,Medical
APP1019,Employee Referral,Research Scientist,Research & Development,2025-06-27,Technical Round,4,2025-07-15,Rejected,18,20,Male,1,Medical
APP1020,Naukri,Sales Representative,Sales,2024-09-02,Application Received,1,2024-09-02,Passed,0,20,Female,3,Medical
APP1020,Naukri,Sales Representative,Sales,2024-09-02,Resume Screening,2,2024-09-02,Rejected,0,20,Female,3,Medical
APP1021,LinkedIn,Laboratory Technician,Research & Development,2024-03-28,Application Received,1,2024-03-28,Passed,0,20,Male,3,Technical Degree
APP1021,LinkedIn,Laboratory Technician,Research & Development,2024-03-28,Resume Screening,2,2024-03-28,Rejected,0,20,Male,3,Technical Degree
APP1022,Employee Referral,Research Scientist,Research & Development,2024-05-08,Application Received,1,2024-05-08,Passed,0,20,Female,3,Medical
APP1022,Employee Referral,Research Scientist,Research & Development,2024-05-08,Resume Screening,2,2024-05-13,Passed,5,20,Female,3,Medical
APP1022,Employee Referral,Research Scientist,Research & Development,2024-05-08,HR Phone Screen,3,2024-05-22,Passed,14,20,Female,3,Medical
APP1022,Employee Referral,Research Scientist,Research & Development,2024-05-08,Technical Round,4,2024-05-22,Rejected,14,20,Female,3,Medical
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Application Received,1,2025-12-07,Passed,0,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Resume Screening,2,2025-12-15,Passed,8,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,HR Phone Screen,3,2025-12-25,Passed,18,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Technical Round,4,2025-12-31,Passed,24,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Manager Interview,5,2026-01-03,Passed,27,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Final Interview,6,2026-01-09,Passed,33,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Offer Extended,7,2026-01-12,Passed,36,20,Female,3,Marketing
APP1023,Company Website,Sales Representative,Sales,2025-12-07,Hired,8,2026-01-16,Hired,40,20,Female,3,Marketing
APP1024,Employee Referral,Laboratory Technician,Research & Development,2025-10-08,Application Received,1,2025-10-08,Passed,0,20,Male,3,Life Sciences
APP1024,Employee Referral,Laboratory Technician,Research & Development,2025-10-08,Resume Screening,2,2025-10-11,Passed,3,20,Male,3,Life Sciences
APP1024,Employee Referral,Laboratory Technician,Research & Development,2025-10-08,HR Phone Screen,3,2025-10-11,Rejected,3,20,Male,3,Life Sciences
APP1025,LinkedIn,Sales Representative,Sales,2025-06-10,Application Received,1,2025-06-10,Passed,0,20,Male,3,Marketing
APP1025,LinkedIn,Sales Representative,Sales,2025-06-10,Resume Screening,2,2025-06-16,Passed,6,20,Male,3,Marketing
APP1025,LinkedIn,Sales Representative,Sales,2025-06-10,HR Phone Screen,3,2025-06-26,Passed,16,20,Male,3,Marketing
APP1025,LinkedIn,Sales Representative,Sales,2025-06-10,Technical Round,4,2025-07-06,Passed,26,20,Male,3,Marketing
APP1025,LinkedIn,Sales Representative,Sales,2025-06-10,Manager Interview,5,2025-07-06,Rejected,26,20,Male,3,Marketing
APP1026,LinkedIn,Sales Representative,Sales,2024-04-06,Application Received,1,2024-04-06,Passed,0,20,Female,3,Medical
APP1026,LinkedIn,Sales Representative,Sales,2024-04-06,Resume Screening,2,2024-04-15,Passed,9,20,Female,3,Medical
APP1026,LinkedIn,Sales Representative,Sales,2024-04-06,HR Phone Screen,3,2024-04-18,Passed,12,20,Female,3,Medical
APP1026,LinkedIn,Sales Representative,Sales,2024-04-06,Technical Round,4,2024-04-18,Rejected,12,20,Female,3,Medical
APP1027,Company Website,Sales Representative,Sales,2024-04-10,Application Received,1,2024-04-10,Passed,0,20,Male,1,Life Sciences
APP1027,Company Website,Sales Representative,Sales,2024-04-10,Resume Screening,2,2024-04-10,Rejected,0,20,Male,1,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,Application Received,1,2024-09-11,Passed,0,21,Male,2,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,Resume Screening,2,2024-09-16,Passed,5,21,Male,2,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,HR Phone Screen,3,2024-09-23,Passed,12,21,Male,2,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,Technical Round,4,2024-09-27,Passed,16,21,Male,2,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,Manager Interview,5,2024-10-01,Passed,20,21,Male,2,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,Final Interview,6,2024-10-04,Passed,23,21,Male,2,Life Sciences
APP1028,LinkedIn,Research Scientist,Research & Development,2024-09-11,Offer Extended,7,2024-10-04,Rejected,23,21,Male,2,Life Sciences
APP1029,LinkedIn,Research Scientist,Research & Development,2024-06-19,Application Received,1,2024-06-19,Passed,0,21,Male,2,Medical
APP1029,LinkedIn,Research Scientist,Research & Development,2024-06-19,Resume Screening,2,2024-06-28,Passed,9,21,Male,2,Medical
APP1029,LinkedIn,Research Scientist,Research & Development,2024-06-19,HR Phone Screen,3,2024-06-28,Rejected,9,21,Male,2,Medical
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Application Received,1,2025-01-23,Passed,0,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Resume Screening,2,2025-02-02,Passed,10,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,HR Phone Screen,3,2025-02-12,Passed,20,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Technical Round,4,2025-02-19,Passed,27,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Manager Interview,5,2025-02-22,Passed,30,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Final Interview,6,2025-02-25,Passed,33,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Offer Extended,7,2025-02-28,Passed,36,21,Female,1,Technical Degree
APP1030,LinkedIn,Sales Representative,Sales,2025-01-23,Hired,8,2025-03-03,Hired,39,21,Female,1,Technical Degree
APP1031,Company Website,Sales Representative,Sales,2025-05-03,Application Received,1,2025-05-03,Passed,0,21,Male,2,Medical
APP1031,Company Website,Sales Representative,Sales,2025-05-03,Resume Screening,2,2025-05-03,Rejected,0,21,Male,2,Medical
APP1032,LinkedIn,Sales Representative,Sales,2024-02-28,Application Received,1,2024-02-28,Passed,0,21,Female,3,Life Sciences
APP1032,LinkedIn,Sales Representative,Sales,2024-02-28,Resume Screening,2,2024-03-04,Passed,5,21,Female,3,Life Sciences
APP1032,LinkedIn,Sales Representative,Sales,2024-02-28,HR Phone Screen,3,2024-03-08,Passed,9,21,Female,3,Life Sciences
APP1032,LinkedIn,Sales Representative,Sales,2024-02-28,Technical Round,4,2024-03-08,Rejected,9,21,Female,3,Life Sciences
APP1033,LinkedIn,Sales Representative,Sales,2025-02-17,Application Received,1,2025-02-17,Passed,0,21,Male,1,Technical Degree
APP1033,LinkedIn,Sales Representative,Sales,2025-02-17,Resume Screening,2,2025-02-17,Rejected,0,21,Male,1,Technical Degree
APP1034,LinkedIn,Research Scientist,Research & Development,2025-08-15,Application Received,1,2025-08-15,Passed,0,21,Female,1,Other
APP1034,LinkedIn,Research Scientist,Research & Development,2025-08-15,Resume Screening,2,2025-08-24,Passed,9,21,Female,1,Other
APP1034,LinkedIn,Research Scientist,Research & Development,2025-08-15,HR Phone Screen,3,2025-09-01,Passed,17,21,Female,1,Other
APP1034,LinkedIn,Research Scientist,Research & Development,2025-08-15,Technical Round,4,2025-09-01,Rejected,17,21,Female,1,Other
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Application Received,1,2025-11-16,Passed,0,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Resume Screening,2,2025-11-25,Passed,9,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,HR Phone Screen,3,2025-12-02,Passed,16,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Technical Round,4,2025-12-06,Passed,20,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Manager Interview,5,2025-12-10,Passed,24,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Final Interview,6,2025-12-16,Passed,30,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Offer Extended,7,2025-12-21,Passed,35,21,Female,3,Life Sciences
APP1035,LinkedIn,Laboratory Technician,Research & Development,2025-11-16,Hired,8,2025-12-21,Rejected,35,21,Female,3,Life Sciences
APP1036,Campus Hiring,Research Scientist,Research & Development,2024-03-11,Application Received,1,2024-03-11,Passed,0,21,Female,1,Technical Degree
APP1036,Campus Hiring,Research Scientist,Research & Development,2024-03-11,Resume Screening,2,2024-03-16,Passed,5,21,Female,1,Technical Degree
APP1036,Campus Hiring,Research Scientist,Research & Development,2024-03-11,HR Phone Screen,3,2024-03-23,Passed,12,21,Female,1,Technical Degree
APP1036,Campus Hiring,Research Scientist,Research & Development,2024-03-11,Technical Round,4,2024-03-23,Rejected,12,21,Female,1,Technical Degree
APP1037,Employee Referral,Laboratory Technician,Research & Development,2025-06-25,Application Received,1,2025-06-25,Passed,0,21,Female,2,Life Sciences
APP1037,Employee Referral,Laboratory Technician,Research & Development,2025-06-25,Resume Screening,2,2025-06-25,Rejected,0,21,Female,2,Life Sciences
APP1038,Campus Hiring,Research Scientist,Research & Development,2025-11-10,Application Received,1,2025-11-10,Passed,0,21,Male,1,Medical
APP1038,Campus Hiring,Research Scientist,Research & Development,2025-11-10,Resume Screening,2,2025-11-10,Rejected,0,21,Male,1,Medical
APP1039,Naukri,Sales Representative,Sales,2024-04-28,Application Received,1,2024-04-28,Passed,0,21,Male,1,Marketing
APP1039,Naukri,Sales Representative,Sales,2024-04-28,Resume Screening,2,2024-04-28,Rejected,0,21,Male,1,Marketing
APP1040,LinkedIn,Sales Representative,Sales,2024-10-05,Application Received,1,2024-10-05,Passed,0,21,Male,1,Medical
APP1040,LinkedIn,Sales Representative,Sales,2024-10-05,Resume Screening,2,2024-10-13,Passed,8,21,Male,1,Medical
APP1040,LinkedIn,Sales Representative,Sales,2024-10-05,HR Phone Screen,3,2024-10-20,Passed,15,21,Male,1,Medical
APP1040,LinkedIn,Sales Representative,Sales,2024-10-05,Technical Round,4,2024-10-27,Passed,22,21,Male,1,Medical
APP1040,LinkedIn,Sales Representative,Sales,2024-10-05,Manager Interview,5,2024-10-27,Rejected,22,21,Male,1,Medical
APP1041,LinkedIn,Laboratory Technician,Research & Development,2024-04-04,Application Received,1,2024-04-04,Passed,0,22,Male,2,Medical
APP1041,LinkedIn,Laboratory Technician,Research & Development,2024-04-04,Resume Screening,2,2024-04-04,Rejected,0,22,Male,2,Medical
APP1042,LinkedIn,Laboratory Technician,Research & Development,2024-01-04,Application Received,1,2024-01-04,Passed,0,22,Female,3,Medical
APP1042,LinkedIn,Laboratory Technician,Research & Development,2024-01-04,Resume Screening,2,2024-01-11,Passed,7,22,Female,3,Medical
APP1042,LinkedIn,Laboratory Technician,Research & Development,2024-01-04,HR Phone Screen,3,2024-01-21,Passed,17,22,Female,3,Medical
APP1042,LinkedIn,Laboratory Technician,Research & Development,2024-01-04,Technical Round,4,2024-01-21,Rejected,17,22,Female,3,Medical
APP1043,Campus Hiring,Laboratory Technician,Research & Development,2025-07-28,Application Received,1,2025-07-28,Passed,0,22,Male,1,Technical Degree
APP1043,Campus Hiring,Laboratory Technician,Research & Development,2025-07-28,Resume Screening,2,2025-08-02,Passed,5,22,Male,1,Technical Degree
APP1043,Campus Hiring,Laboratory Technician,Research & Development,2025-07-28,HR Phone Screen,3,2025-08-10,Passed,13,22,Male,1,Technical Degree
APP1043,Campus Hiring,Laboratory Technician,Research & Development,2025-07-28,Technical Round,4,2025-08-10,Rejected,13,22,Male,1,Technical Degree
APP1044,LinkedIn,Research Scientist,Research & Development,2025-03-16,Application Received,1,2025-03-16,Passed,0,22,Male,1,Medical
APP1044,LinkedIn,Research Scientist,Research & Development,2025-03-16,Resume Screening,2,2025-03-19,Passed,3,22,Male,1,Medical
APP1044,LinkedIn,Research Scientist,Research & Development,2025-03-16,HR Phone Screen,3,2025-03-19,Rejected,3,22,Male,1,Medical
APP1045,LinkedIn,Research Scientist,Research & Development,2025-11-29,Application Received,1,2025-11-29,Passed,0,22,Male,3,Life Sciences
APP1045,LinkedIn,Research Scientist,Research & Development,2025-11-29,Resume Screening,2,2025-12-08,Passed,9,22,Male,3,Life Sciences
APP1045,LinkedIn,Research Scientist,Research & Development,2025-11-29,HR Phone Screen,3,2025-12-08,Rejected,9,22,Male,3,Life Sciences
APP1046,Employee Referral,Research Scientist,Research & Development,2024-06-07,Application Received,1,2024-06-07,Passed,0,22,Female,3,Medical
APP1046,Employee Referral,Research Scientist,Research & Development,2024-06-07,Resume Screening,2,2024-06-12,Passed,5,22,Female,3,Medical
APP1046,Employee Referral,Research Scientist,Research & Development,2024-06-07,HR Phone Screen,3,2024-06-12,Rejected,5,22,Female,3,Medical
APP1047,LinkedIn,Laboratory Technician,Research & Development,2025-02-26,Application Received,1,2025-02-26,Passed,0,22,Male,1,Technical Degree
APP1047,LinkedIn,Laboratory Technician,Research & Development,2025-02-26,Resume Screening,2,2025-02-26,Rejected,0,22,Male,1,Technical Degree
APP1048,Campus Hiring,Research Scientist,Research & Development,2025-02-25,Application Received,1,2025-02-25,Passed,0,22,Male,1,Medical
APP1048,Campus Hiring,Research Scientist,Research & Development,2025-02-25,Resume Screening,2,2025-02-25,Rejected,0,22,Male,1,Medical
APP1049,LinkedIn,Manufacturing Director,Research & Development,2024-09-30,Application Received,1,2024-09-30,Passed,0,22,Male,2,Life Sciences
APP1049,LinkedIn,Manufacturing Director,Research & Development,2024-09-30,Resume Screening,2,2024-09-30,Rejected,0,22,Male,2,Life Sciences
APP1050,Campus Hiring,Manufacturing Director,Research & Development,2024-02-09,Application Received,1,2024-02-09,Passed,0,22,Female,1,Life Sciences
APP1050,Campus Hiring,Manufacturing Director,Research & Development,2024-02-09,Resume Screening,2,2024-02-19,Passed,10,22,Female,1,Life Sciences
APP1050,Campus Hiring,Manufacturing Director,Research & Development,2024-02-09,HR Phone Screen,3,2024-02-25,Passed,16,22,Female,1,Life Sciences
APP1050,Campus Hiring,Manufacturing Director,Research & Development,2024-02-09,Technical Round,4,2024-03-02,Passed,22,22,Female,1,Life Sciences
APP1050,Campus Hiring,Manufacturing Director,Research & Development,2024-02-09,Manager Interview,5,2024-03-09,Passed,29,22,Female,1,Life Sciences
APP1050,Campus Hiring,Manufacturing Director,Research & Development,2024-02-09,Final Interview,6,2024-03-09,Rejected,29,22,Female,1,Life Sciences
APP1051,Campus Hiring,Laboratory Technician,Research & Development,2024-12-25,Application Received,1,2024-12-25,Passed,0,22,Male,1,Life Sciences
APP1051,Campus Hiring,Laboratory Technician,Research & Development,2024-12-25,Resume Screening,2,2025-01-02,Passed,8,22,Male,1,Life Sciences
APP1051,Campus Hiring,Laboratory Technician,Research & Development,2024-12-25,HR Phone Screen,3,2025-01-02,Rejected,8,22,Male,1,Life Sciences
APP1052,LinkedIn,Research Scientist,Research & Development,2024-09-24,Application Received,1,2024-09-24,Passed,0,22,Male,4,Life Sciences
APP1052,LinkedIn,Research Scientist,Research & Development,2024-09-24,Resume Screening,2,2024-09-24,Rejected,0,22,Male,4,Life Sciences
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Application Received,1,2024-02-09,Passed,0,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Resume Screening,2,2024-02-17,Passed,8,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,HR Phone Screen,3,2024-02-21,Passed,12,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Technical Round,4,2024-02-27,Passed,18,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Manager Interview,5,2024-03-07,Passed,27,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Final Interview,6,2024-03-13,Passed,33,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Offer Extended,7,2024-03-17,Passed,37,22,Female,2,Other
APP1053,Campus Hiring,Research Scientist,Research & Development,2024-02-09,Hired,8,2024-03-25,Hired,45,22,Female,2,Other
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Application Received,1,2024-11-17,Passed,0,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Resume Screening,2,2024-11-24,Passed,7,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,HR Phone Screen,3,2024-12-03,Passed,16,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Technical Round,4,2024-12-10,Passed,23,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Manager Interview,5,2024-12-16,Passed,29,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Final Interview,6,2024-12-25,Passed,38,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Offer Extended,7,2024-12-30,Passed,43,22,Female,1,Medical
APP1054,Employee Referral,Laboratory Technician,Research & Development,2024-11-17,Hired,8,2025-01-06,Hired,50,22,Female,1,Medical
APP1055,Campus Hiring,Research Scientist,Research & Development,2025-07-15,Application Received,1,2025-07-15,Passed,0,22,Male,1,Life Sciences
